old_path,new_path,old_name,new_name,reason,risk
./11-Templates/TEMPLATE_Atomic_Note.md,./11-Templates/_RON_REFAC/Template_Atomic_Note.md,TEMPLATE_Atomic_Note.md,Template_Atomic_Note.md,case/prefix standard,low
./11-Templates/TEMPLATE_Biomarker.md,./11-Templates/_RON_REFAC/Template_Biomarker.md,TEMPLATE_Biomarker.md,Template_Biomarker.md,case/prefix standard,low
./11-Templates/TEMPLATE_Clinical_Report.md,./11-Templates/_RON_REFAC/Template_Clinical_Report.md,TEMPLATE_Clinical_Report.md,Template_Clinical_Report.md,case/prefix standard,low
./11-Templates/TEMPLATE_Lit_Note.md,./11-Templates/_RON_REFAC/Template_Lit_Note.md,TEMPLATE_Lit_Note.md,Template_Lit_Note.md,case/prefix standard,low
./11-Templates/TEMPLATE_MOC.md,./11-Templates/_RON_REFAC/Template_MOC.md,TEMPLATE_MOC.md,Template_MOC.md,case/prefix standard,low
./11-Templates/TEMPLATE_PhD_Note.md,./11-Templates/_RON_REFAC/Template_PhD_Note.md,TEMPLATE_PhD_Note.md,Template_PhD_Note.md,case/prefix standard,low
./11-Templates/RUN_HEARTBEAT_PROMPT.md,./11-Templates/_RON_REFAC/Template_Heartbeat_Prompt.md,RUN_HEARTBEAT_PROMPT.md,Template_Heartbeat_Prompt.md,rename to template,low
./22-Dashboards/Daily_Note.md,./22-Dashboards/_RON_REFAC/Dashboard_Daily_Note.md,Daily_Note.md,Dashboard_Daily_Note.md,missing prefix,low
./22-Dashboards/DASHBOARD_Clinic.md,./22-Dashboards/_RON_REFAC/Dashboard_Clinic.md,DASHBOARD_Clinic.md,Dashboard_Clinic.md,case standard,low
./22-Dashboards/DASHBOARD_Home.md,./22-Dashboards/_RON_REFAC/Dashboard_Home.md,DASHBOARD_Home.md,Dashboard_Home.md,case standard,low
./22-Dashboards/DASHBOARD_Inbox.md,./22-Dashboards/_RON_REFAC/Dashboard_Inbox.md,DASHBOARD_Inbox.md,Dashboard_Inbox.md,case standard,low
./22-Dashboards/KANBAN_PhD_Progress.md,./22-Dashboards/_RON_REFAC/Dashboard_PhD_Progress_Kanban.md,KANBAN_PhD_Progress.md,Dashboard_PhD_Progress_Kanban.md,missing prefix/semantic,low
./22-Dashboards/TEST_MOC_08.md,./22-Dashboards/_RON_REFAC/MOC_Test_08.md,TEST_MOC_08.md,MOC_Test_08.md,test cleanup prefix,med
./33-PhD/Adipic_Biomarker_Cutoff.md,./33-PhD/_RON_REFAC/Zettel_Adipic_Biomarker_Cutoff.md,Adipic_Biomarker_Cutoff.md,Zettel_Adipic_Biomarker_Cutoff.md,missing prefix,low
./33-PhD/Adipic_Biomarker_Cutoffs.md,./33-PhD/_RON_REFAC/Zettel_Adipic_Biomarker_Cutoffs.md,Adipic_Biomarker_Cutoffs.md,Zettel_Adipic_Biomarker_Cutoffs.md,missing prefix,low
./33-PhD/Adipic_IR_Early_Pattern 1.md,./33-PhD/_RON_REFAC/Zettel_Adipic_IR_Early_Pattern_1.md,Adipic_IR_Early_Pattern 1.md,Zettel_Adipic_IR_Early_Pattern_1.md,missing prefix/space,low
./33-PhD/Adipic_IR_Early_Pattern.md,./33-PhD/_RON_REFAC/Zettel_Adipic_IR_Early_Pattern.md,Adipic_IR_Early_Pattern.md,Zettel_Adipic_IR_Early_Pattern.md,missing prefix,low
./33-PhD/Dashboard_Core_Map.md,./33-PhD/_RON_REFAC/Dashboard_Core_Map.md,Dashboard_Core_Map.md,Dashboard_Core_Map.md,case/prefix? PhD dashboard,low
./33-PhD/Dashboard_Open_Loops_Queue.md,./33-PhD/_RON_REFAC/Dashboard_Open_Loops_Queue.md,Dashboard_Open_Loops_Queue.md,Dashboard_Open_Loops_Queue.md,case/prefix PhD,low
./33-PhD/FFA_Glucose_Correlation.md,./33-PhD/_RON_REFAC/Zettel_FFA_Glucose_Correlation.md,FFA_Glucose_Correlation.md,Zettel_FFA_Glucose_Correlation.md,missing prefix,low
./33-PhD/FFA_Glucose_IR_Correlation.md,./33-PhD/_RON_REFAC/Zettel_FFA_Glucose_IR_Correlation.md,FFA_Glucose_IR_Correlation.md,Zettel_FFA_Glucose_IR_Correlation.md,missing prefix,low
./33-PhD/Raw_01.md,./33-PhD/_RON_REFAC/Zettel_Raw_Data_01.md,Raw_01.md,Zettel_Raw_Data_01.md,missing prefix/semantic,low
./33-PhD/Raw_03.md,./33-PhD/_RON_REFAC/Zettel_Raw_Data_03.md,Raw_03.md,Zettel_Raw_Data_03.md,missing prefix/semantic,low
./33-PhD/Raw_05.md,./33-PhD/_RON_REFAC/Zettel_Raw_Data_05.md,Raw_05.md,Zettel_Raw_Data_05.md,missing prefix/semantic,low
./33-PhD/Raw_06.md,./33-PhD/_RON_REFAC/Zettel_Raw_Data_06.md,Raw_06.md,Zettel_Raw_Data_06.md,missing prefix/semantic,low
./33-PhD/Raw_07.md,./33-PhD/_RON_REFAC/Zettel_Raw_Data_07.md,Raw_07.md,Zettel_Raw_Data_07.md,missing prefix/semantic,low
./33-PhD/Raw_08.md,./33-PhD/_RON_REFAC/Zettel_Raw_Data_08.md,Raw_08.md,Zettel_Raw_Data_08.md,missing prefix/semantic,low
./33-PhD/Raw_09.md,./33-PhD/_RON_REFAC/Zettel_Raw_Data_09.md,Raw_09.md,Zettel_Raw_Data_09.md,missing prefix/semantic,low
./33-PhD/Raw_10.md,./33-PhD/_RON_REFAC/Zettel_Raw_Data_10.md,Raw_10.md,Zettel_Raw_Data_10.md,missing prefix/semantic,low
./33-PhD/Suberic_Biomarker_Cutoff.md,./33-PhD/_RON_REFAC/Zettel_Suberic_Biomarker_Cutoff.md,Suberic_Biomarker_Cutoff.md,Zettel_Suberic_Biomarker_Cutoff.md,missing prefix,low
./33-PhD/Suberic_Biomarker_Cutoffs.md,./33-PhD/_RON_REFAC/Zettel_Suberic_Biomarker_Cutoffs.md,Suberic_Biomarker_Cutoffs.md,Zettel_Suberic_Biomarker_Cutoffs.md,missing prefix,low
./33-PhD/Suberic_IR_Biomarker.md,./33-PhD/_RON_REFAC/Zettel_Suberic_IR_Biomarker.md,Suberic_IR_Biomarker.md,Zettel_Suberic_IR_Biomarker.md,missing prefix,low
./33-PhD/Suberic_IR_Plasma_Upreg.md,./33-PhD/_RON_REFAC/Zettel_Suberic_IR_Plasma_Upreg.md,Suberic_IR_Plasma_Upreg.md,Zettel_Suberic_IR_Plasma_Upreg.md,missing prefix,low
./33-PhD/TEST_PhD_Note_09.md,./33-PhD/_RON_REFAC/Zettel_Test_PhD_Note_09.md,TEST_PhD_Note_09.md,Zettel_Test_PhD_Note_09.md,test cleanup,med
./33-PhD/TEST_PhD_Note_10.md,./33-PhD/_RON_REFAC/Zettel_Test_PhD_Note_10.md,TEST_PhD_Note_10.md,Zettel_Test_PhD_Note_10.md,test cleanup,med
./44-Clinic/Adipose Tissue Functions.md,./44-Clinic/_RON_REFAC/Zettel_Adipose_Tissue_Functions.md,Adipose Tissue Functions.md,Zettel_Adipose_Tissue_Functions.md,missing prefix,low
./44-Clinic/chlorophyll.md,./44-Clinic/_RON_REFAC/Zettel_Chlorophyll.md,chlorophyll.md,Zettel_Chlorophyll.md,missing prefix,low
./44-Clinic/Clinical_Protocol_IR_Preanalytics.md,./44-Clinic/_RON_REFAC/Protocol_Clinical_IR_Preanalytics.md,Clinical_Protocol_IR_Preanalytics.md,Protocol_Clinical_IR_Preanalytics.md,missing prefix,low
./44-Clinic/Clinical_Report_ABC123.md,./44-Clinic/_RON_REFAC/Zettel_Clinical_Report_ABC123.md,Clinical_Report_ABC123.md,Zettel_Clinical_Report_ABC123.md,missing prefix,low
./44-Clinic/Clinical_Report_DEF456.md,./44-Clinic/_RON_REFAC/Zettel_Clinical_Report_DEF456.md,Clinical_Report_DEF456.md,Zettel_Clinical_Report_DEF456.md,missing prefix,low
./44-Clinic/Df Gout.md,./44-Clinic/_RON_REFAC/Dictionary_Gout.md,Df Gout.md,Dictionary_Gout.md,Df to Dictionary,low
./44-Clinic/Df Insulin Hormone.md,./44-Clinic/_RON_REFAC/Dictionary_Insulin_Hormone.md,Df Insulin Hormone.md,Dictionary_Insulin_Hormone.md,Df to Dictionary,low
./44-Clinic/Df Metabolomic Medicine.md,./44-Clinic/_RON_REFAC/Dictionary_Metabolomic_Medicine.md,Df Metabolomic Medicine.md,Dictionary_Metabolomic_Medicine.md,Df to Dictionary,low
./44-Clinic/Df Metabolomics.md,./44-Clinic/_RON_REFAC/Dictionary_Metabolomics.md,Df Metabolomics.md,Dictionary_Metabolomics.md,Df to Dictionary,low
./44-Clinic/Df NAFLD.md,./44-Clinic/_RON_REFAC/Dictionary_NAFLD.md,Df NAFLD.md,Dictionary_NAFLD.md,Df to Dictionary,low
./44-Clinic/Df Obesity.md,./44-Clinic/_RON_REFAC/Dictionary_Obesity.md,Df Obesity.md,Dictionary_Obesity.md,Df to Dictionary,low
